sponsor,type,email,phone,previous_deal
Rio,Drink,rio@example.com,+91 9943067131,50% discount for event
RedBull,Drink,redbull@example.com,+91 9714890111,None
Pepsi,Drink,pepsi@example.com,+91 6332670326,1 lakh sponsorship
CocaCola,Drink,cocacola@example.com,+91 6131509724,None
Frooti,Drink,frooti@example.com,+91 7685575679,Prize money of 2L
Dabur,Drink,dabur@example.com,+91 9445624151,Sponsored technical equipment
Bisleri,Drink,bisleri@example.com,+91 7937519770,50 jerseys for players
Parle Agro,Drink,parleagro@example.com,+91 6778888579,Sponsored technical equipment
Coca Cola India,Drink,cocacolaindia@example.com,+91 8273100250,Prize money of 2L
Dominos,Food,dominos@example.com,+91 7389715613,Prize money of 2L
McDonalds,Food,mcdonalds@example.com,+91 7323396832,50% discount for event
PizzaHut,Food,pizzahut@example.com,+91 7454406988,1 lakh sponsorship
BiryaniByKilo,Food,biryanibykilo@example.com,+91 7563311934,Prize money of 2L
Haldirams,Food,haldirams@example.com,+91 7228361075,1 lakh sponsorship
Amul,Food,amul@example.com,+91 8238957048,20k for publicity and top sponsor
Britannia,Food,britannia@example.com,+91 7975489906,Prize money of 2L
ITC,Food,itc@example.com,+91 7675823223,Sponsored trophy
MTR Foods,Food,mtrfoods@example.com,+91 9451048975,1 lakh sponsorship
McCain,Food,mccain@example.com,+91 6484824810,None
Kookabura,Sports,kookabura@example.com,+91 9927367901,Sponsored technical equipment
Nike,Sports,nike@example.com,+91 9893049195,Prize money of 2L
Adidas,Sports,adidas@example.com,+91 9506617043,50 jerseys for players
SG,Sports,sg@example.com,+91 8368242265,50 jerseys for players
Reebok,Sports,reebok@example.com,+91 7165371843,Sponsored trophy
Decathlon,Sports,decathlon@example.com,+91 6667297291,500 cans for publicity
Yonex,Sports,yonex@example.com,+91 6668971767,50% discount for event
Spartan,Sports,spartan@example.com,+91 9288520174,1 lakh sponsorship
Admiral,Sports,admiral@example.com,+91 9786169755,Prize money of 2L
SBI,Bank,sbi@example.com,+91 6716858671,Sponsored trophy
HDFC,Bank,hdfc@example.com,+91 7314792715,1 lakh sponsorship
ICICI,Bank,icici@example.com,+91 8091059353,500 cans for publicity
Axis,Bank,axis@example.com,+91 9447381368,1 lakh sponsorship
Kotak,Bank,kotak@example.com,+91 7420599131,Prize money of 2L
Bank of Baroda,Bank,bankofbaroda@example.com,+91 7374425387,50% discount for event
Punjab National Bank,Bank,punjabnationalbank@example.com,+91 9431384123,50 jerseys for players
IDBI Bank,Bank,idbibank@example.com,+91 8251789222,None
YES Bank,Bank,yesbank@example.com,+91 9929598641,20k for publicity and top sponsor
Federal Bank,Bank,federalbank@example.com,+91 8662292711,20k for publicity and top sponsor
Paytm,Money,paytm@example.com,+91 9218360867,20k for publicity and top sponsor
PhonePe,Money,phonepe@example.com,+91 6432535188,Prize money of 2L
GooglePay,Money,googlepay@example.com,+91 6555776751,Prize money of 2L
BharatPe,Money,bharatpe@example.com,+91 8836956447,Sponsored trophy
AmazonPay,Money,amazonpay@example.com,+91 9313821213,None
MobiKwik,Money,mobikwik@example.com,+91 7362954453,Sponsored technical equipment
FreeCharge,Money,freecharge@example.com,+91 8760021239,None
Zeta,Money,zeta@example.com,+91 9976489901,Sponsored trophy
Slice,Money,slice@example.com,+91 8212526451,20k for publicity and top sponsor
Angel One,Money,angelone@example.com,+91 6442690140,Prize money of 2L
Tupperware,Goodies,tupperware@example.com,+91 6815759927,None
Milton,Goodies,milton@example.com,+91 9996875383,Sponsored trophy
Cello,Goodies,cello@example.com,+91 7931906333,50% discount for event
Puma,Goodies,puma@example.com,+91 6871890895,1 lakh sponsorship
